序位	詞彙	詞頻	百萬詞頻
1	的	31923	36645
2	在	8880	10193
3	學生	8659	9940
4	是	7555	8672
5	有	7129	8183
6	一	5372	6166
7	也	5102	5856
8	與	5067	5816
9	國小	4546	5218
10	表示	4012	4605
11	和	3852	4421
12	說	3744	4297
13	為	3509	4028
14	昨天	3421	3927
15	及	3410	3914
16	不	3342	3836
17	將	3275	3759
18	學校	3165	3633
19	年	2988	3430
20	人	2977	3417
21	都	2959	3396
22	到	2958	3395
23	讓	2795	3208
24	個	2779	3190
25	中	2750	3156
26	名	2741	3146
27	以	2739	3144
28	了	2588	2970
29	臺灣	2572	2952
30	他	2536	2911
31	等	2512	2883
32	教師	2463	2827
33	教育	2430	2789
34	這	2410	2766
35	就	2397	2751
36	後	2368	2718
37	會	2351	2698
38	能	2265	2600
39	大學	2257	2590
40	上	2248	2580
41	但	2244	2575
42	全	2120	2433
43	大	2073	2379
44	新	2061	2365
45	要	2005	2301
46	活動	1981	2274
47	並	1962	2252
48	每	1937	2223
49	今年	1902	2183
50	三	1888	2167
51	可	1879	2156
52	兩	1829	2099
53	最	1822	2091
54	時	1765	2026
55	她	1744	2002
56	各	1730	1985
57	對	1710	1962
58	很	1699	1950
59	還	1630	1871
60	學習	1601	1837
61	更	1588	1822
62	校	1554	1783
63	從	1521	1746
64	次	1504	1726
65	由	1503	1725
66	圖說	1503	1725
67	國中	1492	1712
68	希望	1486	1705
69	或	1467	1684
70	小	1461	1677
71	教育部	1408	1616
72	前	1394	1600
73	兒童	1377	1580
74	校長	1299	1491
75	舉辦	1256	1441
76	已	1253	1438
77	提供	1251	1436
78	國	1200	1377
79	高中	1192	1368
80	多	1157	1328
81	天	1151	1321
82	所	1148	1317
83	第一	1140	1308
84	元	1138	1306
85	歲	1137	1305
86	被	1109	1273
87	自己	1093	1254
88	下	1086	1246
89	四	1078	1237
90	我	1061	1217
91	臺北市	1054	1209
92	才	1034	1186
93	日前	1021	1172
94	來	1006	1154
95	五	990	1136
96	而	988	1134
97	政府	986	1131
98	可以	986	1131
99	課程	985	1130
100	學童	982	1127
101	參加	981	1126
102	獲得	980	1124
103	美國	974	1118
104	臺北	958	1099
105	目前	944	1083
106	進行	942	1081
107	則	942	1081
108	著	928	1065
109	再	922	1058
110	文化	921	1057
111	好	920	1056
112	之	903	1036
113	沒有	900	1033
114	民眾	885	1015
115	北市	876	1005
116	只	871	999
117	者	867	995
118	內	855	981
119	透過	850	975
120	國際	848	973
121	校園	840	964
122	家長	838	961
123	教學	837	960
124	比	827	949
125	應	820	941
126	起	808	927
127	未來	802	920
128	二	800	918
129	用	796	913
130	國家	791	908
131	高雄市	780	895
132	閱讀	775	889
133	成為	773	887
134	高	769	882
135	時間	768	881
136	圖片	767	880
137	作品	767	880
138	家	755	866
139	工作	751	862
140	生活	748	858
141	社會	747	857
142	中心	747	857
143	孩子	745	855
144	世界	743	852
145	指出	743	852
146	六	738	847
147	師生	730	837
148	共	723	829
149	外	723	829
150	許多	719	825
151	推動	715	820
152	計畫	715	820
153	去年	714	819
154	問題	710	815
155	媽媽	708	812
156	項	707	811
157	臺	706	810
158	影響	691	793
159	認為	688	789
160	得	683	784
161	他們	682	782
162	因此	681	781
163	因	674	773
