序位	詞彙	詞頻	百萬詞頻
1	的	353031	46495.0
2	在	92094	12129.0
3	是	88552	11662.0
4	一	60542	7973.0
5	有	58507	7705.0
6	也	46046	6064.0
7	了	43752	5762.0
8	與	43451	5722.0
9	個	38544	5076.0
10	不	36428	4797.0
11	這	36314	4782.0
12	他	32269	4249.0
13	年	31960	4209.0
14	和	31044	4088.0
15	就	29795	3924.0
16	人	29479	3882.0
17	為	29306	3859.0
18	表示	29144	3838.0
19	說	28662	3774.0
20	將	28627	3770.0
21	台灣	28439	3745.0
22	日	28337	3732.0
23	月	27702	3648.0
24	對	27116	3571.0
25	中	27031	3560.0
26	及	26888	3541.0
27	都	26821	3532.0
28	會	26619	3505.0
29	上	25576	3368.0
30	美國	23413	3083.0
31	等	23409	3083.0
32	中共	22530	2967.0
33	讓	22096	2910.0
34	中國	21583	2842.0
35	並	20594	2712.0
36	以	20385	2684.0
37	大	19724	2597.0
38	後	19100	2515.0
39	被	18958	2496.0
40	我	18699	2462.0
41	要	18631	2453.0
42	但	18241	2402.0
43	能	17650	2324.0
44	最	16740	2204.0
45	還	16503	2173.0
46	而	16444	2165.0
47	來	16265	2142.0
48	時	15572	2050.0
49	之	15229	2005.0
50	到	15135	1993.0
51	次	14653	1929.0
52	更	14448	1902.0
53	她	14381	1894.0
54	於	13986	1842.0
55	多	13558	1785.0
56	很	13539	1783.0
57	新	13512	1779.0
58	政府	13090	1724.0
59	從	12245	1612.0
60	已	12218	1609.0
61	可	12046	1586.0
62	每	11954	1574.0
63	或	11914	1569.0
64	前	11882	1564.0
65	元	11818	1556.0
66	各	11566	1523.0
67	可以	11552	1521.0
68	提供	11439	1506.0
69	地	11345	1494.0
70	自己	11266	1483.0
71	沒有	11168	1470.0
72	公司	10824	1425.0
73	兩	10646	1402.0
74	國家	10640	1401.0
75	我們	10549	1389.0
76	著	10292	1355.0
77	他們	10034	1321.0
78	下	9981	1314.0
79	全	9903	1304.0
80	種	9744	1283.0
81	者	9730	1281.0
82	此	9593	1263.0
83	好	9253	1218.0
84	活動	9169	1207.0
85	民眾	9107	1199.0
86	國際	9048	1191.0
87	名	8852	1165.0
88	希望	8600	1132.0
89	問題	8549	1125.0
90	內	8500	1119.0
91	由	8454	1113.0
92	因為	8415	1108.0
93	天	8387	1104.0
94	家	8345	1099.0
95	今年	8303	1093.0
96	進行	8270	1089.0
97	再	8230	1083.0
98	做	8230	1083.0
99	該	8143	1072.0
100	你	8064	1062.0
101	所	8011	1055.0
102	至	7924	1043.0
103	位	7885	1038.0
104	經濟	7864	1035.0
105	可能	7849	1033.0
106	則	7668	1009.0
107	向	7587	999.0
108	其	7515	989.0
109	才	7511	989.0
110	目前	7492	986.0
111	認為	7460	982.0
112	把	7351	968.0
113	用	7322	964.0
114	大學	7221	951.0
115	發展	7114	936.0
116	世界	7062	930.0
