序位	詞彙	詞頻	常用詞標V
1	的	3012	V
2	在	876	V
3	是	745	V
4	月	603	V
5	一	572	V
6	這	480	V
7	個	476	V
8	有	469	V
9	日	463	V
10	了	438	V
11	與	401	V
12	也	377	V
13	年	346	V
14	將	336	V
15	人	318	V
16	和	307	V
17	表示	283	V
18	學生	258	V
19	不	243	V
20	上	242	V
21	為	240	V
22	名	232	V
23	臺灣	224	V
24	會	219	V
25	我	219	V
26	美國	216	V
27	他	214	V
28	大	206	V
29	最	206	V
30	對	205	V
31	中	203	V
32	但	196	V
33	新	194	V
34	以	193	V
35	大學	179	V
36	等	175	V
37	你	173	V
38	被	171	V
39	到	167	V
40	次	164	V
41	後	161	V
42	都	155	V
43	三	155	V
44	說	155	V
45	已	151	V
46	並	151	V
47	兩	149	V
48	可	144	V
49	今年	144	V
50	或	142	V
51	讓	136	V
52	全	136	V
53	者	133	V
54	從	133	V
55	歲	131	V
56	能	130	V
57	及	130	V
58	就	130	V
59	世界	130	V
60	高中	127	V
61	總統	125	V
62	學校	125	V
63	前	123	V
64	國中	123	V
65	國家	122	V
66	她	118	V
67	於	117	V
68	每	113	V
69	國	109	V
70	各	109	V
71	包括	107	V
72	中國	107	V
73	全球	107	V
74	要	106	V
75	可以	105	V
76	政府	104	V
77	由	103	V
78	元	103	V
79	他們	101	V
80	之	100	V
81	該	99	V
82	來	99	V
83	發現	98	V
84	而	95	V
85	英國	95	V
86	調查	95	V
87	則	95	V
88	可能	94	V
89	此	93	V
90	時	92	V
91	我們	91	V
92	教育部	91	V
93	成為	89	V
94	圖	88	V
95	還	87	V
96	學	87	V
97	宣布	84	V
98	國際	83	V
99	希望	83	V
100	提供	83	V
101	所	82	V
102	比	81	V
103	公布	81	V
104	位	80	V
105	新聞	80	V
106	開始	80	V
107	共	79	V
108	更	78	V
109	多	78	V
110	目前	77	V
111	沒有	77	V
112	日本	77	V
113	單字	76	V
114	教師	76	V
115	項	76	V
116	校	76	V
117	內	76	V
118	分鐘	75	V
119	研究	74	V
120	教育	74	V
121	英語	74	V
122	計畫	73	V
123	抗議	73	V
124	第一	72	V
125	去年	72	V
126	很	72	V
127	天	71	V
128	香港	70	V
129	因為	70	V
130	好	70	V
131	超過	68	V
132	其中	68	V
133	首	67	V
134	民眾	67	V
135	進行	66	V
136	小	65	V
137	近	64	V
138	分	64	V
139	公司	64	V
140	未來	63	V
141	只	63	V
142	再	63	V
143	起	62	V
144	因	62	V
145	種	62	V
146	問題	62	V
147	下	61	V
148	第	61	V
149	活動	61	V
150	未	60	V
151	獲得	60	V
152	中心	60	V
153	其他	60	V
154	約	60	V
155	川普	59	V
156	指出	58	V
157	行動	58	V
158	家	58	V
159	高	57	V
160	使用	57	V
161	著	57	V
162	萬	57	V
163	舉行	56	V
164	印度	56	V
165	以及	56	V
166	影響	56	V
167	包	56	V
168	無	56	V
169	臺北市	56	V
170	認為	56	V
171	紀錄	56	V
172	臺北	55	V
173	曾	55	V
174	瑩	55	V
175	向	55	V
176	才	55	V
177	圖／美聯社	54	V
178	以上	54	V
179	許多	54	V
180	本	54	V
181	譯	54	V
182	根據	54	V
183	時間	53	V
184	用	52	V
185	女性	52	V
186	補充	52	V
187	人數	52	V
188	整理	51	V
189	嗎	51	V
190	做	51	V
191	通過	51	V
192	美聯社	50	V
193	敏偉	50	V
194	文／王	50	V
195	四	50	V
196	學習	49	V
197	網路	49	V
198	聯盟	49	V
199	歐盟	49	V
200	成績	48	V
201	五	48	V
202	太空	48	V
203	造成	48	V
204	北市	48	V
205	氣候	47	V
206	寫／張	47	V
207	規定	47	V
208	得	47	V
209	參加	47	V
210	文化	46	V
211	必須	46	V
212	嚴重	46	V
213	美元	46	V
214	部分	46	V
215	日前	46	V
216	增加	46	V
217	自己	46	V
218	譯寫	46	V
219	組織	46	V
220	臺	45	V
221	導致	45	V
222	呼籲	45	V
223	青少年	45	V
224	文／	45	V
225	自	45	V
226	級	45	V
227	把	44	V
228	成	44	V
229	現	44	V
230	書	44	V
231	文	44	V
232	太	44	V
233	給	44	V
234	地區	43	V
235	事	43	V
236	知道	43	V
237	動物	43	V
238	考試	43	V
239	其	43	V
240	外	43	V
241	課程	42	V
242	選舉	42	V
243	校長	42	V
244	過	42	V
245	受	42	V
246	使	42	V
247	第二	42	V
248	考生	41	V
249	健康	41	V
250	份	41	V
251	同時	41	V
252	什麼	41	V
253	仍	41	V
254	達	41	V
255	參與	41	V
256	它	41	V
257	如果	41	V
258	社會	41	V
259	要求	40	V
260	週	40	V
261	出現	40	V
262	決定	40	V
263	哦	40	V
264	禁止	40	V
265	提出	40	V
266	排名	40	V
267	潘斯量	40	V
268	透過	40	V
269	兒少	40	V
270	二	39	V
271	入學	39	V
272	經濟	39	V
273	協議	39	V
274	相關	39	V
275	逾	39	V
276	裡	39	V
277	美	39	V
278	發生	39	V
279	場	39	V
280	名額	39	V
281	閱讀	39	V
282	結果	39	V
283	科技	38	V
284	以下	38	V
285	完成	38	V
286	臉	38	V
287	至	38	V
288	非	38	V
289	課綱	38	V
290	現在	38	V
291	衛星	37	V
292	這些	37	V
293	個人	37	V
294	僅	37	V
295	小時	37	V
296	且	37	V
297	科	37	V
298	件	37	V
299	處	37	V
300	地球	37	V
301	這樣	36	V
302	獎	36	V
303	歐	36	V
304	更多	36	V
305	示威	36	V
306	正	36	V
307	南韓	36	V
308	千	36	V
309	需要	36	V
310	想	36	V
311	因此	36	V
312	規模	35	V
313	脫	35	V
314	成功	35	V
315	報告	35	V
316	圖片	35	V
317	選手	35	V
318	沒	35	V
319	生活	35	V
320	張瑩	34	V
321	大選	34	V
322	最近	34	V
323	針對	34	V
324	地震	34	V
325	不會	34	V
326	最多	34	V
327	顯示	34	V
328	應	34	V
329	國會	34	V
330	數	34	V
331	屆	34	V
332	正式	33	V
333	獲	33	V
334	最後	33	V
335	稱	33	V
336	媒體	33	V
337	設計	33	V
338	預計	33	V
339	招生	33	V
340	兒童	33	V
341	同意	33	V
342	期間	32	V
343	總理	32	V
344	政治	32	V
345	啟綜	32	V
346	推動	32	V
347	方式	32	V
348	學測	32	V
349	去	32	V
350	電子	32	V
351	罷工	31	V
352	國內	31	V
353	歐洲	31	V
354	隻	31	V
355	那	31	V
356	安全	31	V
357	明年	31	V
358	代表	31	V
359	文．圖	31	V
360	卻	31	V
361	過去	31	V
362	快	31	V
363	哇	30	V
364	地	30	V
365	反	30	V
366	主要	30	V
367	數學	30	V
368	改變	30	V
369	手機	30	V
370	遭	30	V
371	幫助	30	V
372	已經	30	V
373	人員	30	V
374	時代	29	V
375	取得	29	V
376	基金會	29	V
377	臺大	29	V
378	保護	29	V
379	除了	29	V
380	至少	29	V
381	貿易	29	V
382	乘客	29	V
383	團體	29	V
384	是否	29	V
385	工作	29	V
386	草案	29	V
387	另外	29	V
388	錯	29	V
389	實施	29	V
390	行為	28	V
391	女	28	V
392	人士	28	V
393	消息	28	V
394	處理	28	V
395	舉	28	V
396	協助	28	V
397	持續	28	V
398	機會	28	V
399	張	28	V
400	舉辦	28	V
401	又	28	V
402	煙	28	V
403	委員會	28	V
404	國中生	28	V
405	事件	27	V
406	由於	27	V
407	申請	27	V
408	政策	27	V
409	奧運	27	V
410	表現	27	V
411	印尼	27	V
412	冠軍	27	V
413	發表	27	V
414	加入	27	V
415	幾	26	V
416	心智	26	V
417	減少	26	V
418	能力	26	V
419	推荐	26	V
420	新臺幣	26	V
421	聯合國	26	V
422	改善	26	V
423	變遷	26	V
424	點	26	V
425	座	26	V
426	擊敗	26	V
427	上路	26	V
428	受到	26	V
429	強	26	V
430	度	26	V
431	團隊	26	V
432	取消	26	V
433	法國	25	V
434	關係	25	V
435	無法	25	V
436	運動	25	V
437	測驗	25	V
438	號	25	V
439	家長	25	V
440	支持	25	V
441	非常	25	V
442	數量	25	V
443	進入	25	V
444	塑膠	25	V
445	首度	25	V
446	特別	25	V
447	中學生報	25	V
448	請	25	V
449	歷史	25	V
450	大約	25	V
451	來自	25	V
452	俄羅斯	24	V
453	教學	24	V
454	作品	24	V
455	高中職	24	V
456	航空	24	V
457	以來	24	V
458	建議	24	V
459	報	24	V
460	服務	24	V
461	非洲	24	V
462	金	24	V
463	嗯	24	V
464	德國	24	V
465	高中生	24	V
466	行政	24	V
467	警方	24	V
468	校園	24	V
469	重要	23	V
470	錄取	23	V
471	圖／朱珠嘿	23	V
472	如	23	V
473	另	23	V
474	疫苗	23	V
475	統計	23	V
476	桃園市	23	V
477	類	23	V
478	某	23	V
479	投票	23	V
480	臺中市	23	V
481	專家	23	V
482	科學	23	V
483	公尺	23	V
484	北京	23	V
485	贏得	23	V
486	賣	23	V
487	少	23	V
488	工會	23	V
489	增額	23	V
490	國立	23	V
491	所有	22	V
492	解決	22	V
493	真	22	V
494	科學家	22	V
495	保育	22	V
496	間	22	V
497	當局	22	V
498	顆	22	V
499	城市	22	V
500	自然	22	V
501	開放	22	V
502	當	22	V
503	年齡	22	V
504	甚至	22	V
505	縣市	22	V
506	發射	22	V
507	例	22	V
508	規畫	22	V
509	之後	22	V
510	平均	22	V
511	國小	22	V
512	候選人	22	V
513	選擇	22	V
514	而且	22	V
515	了解	22	V
516	法院	22	V
517	內容	22	V
518	企業	21	V
519	疫情	21	V
520	引發	21	V
521	面臨	21	V
522	情況	21	V
523	交通	21	V
524	資料	21	V
525	選	21	V
526	中學	21	V
527	左	21	V
528	作為	21	V
529	占	21	V
530	經過	21	V
531	火山	21	V
532	票	21	V
533	官員	21	V
534	任務	21	V
535	須	21	V
536	一月	21	V
537	素養	21	V
538	拿下	21	V
539	不同	21	V
540	七	21	V
541	吃	21	V
542	福衛	21	V
543	最佳	20	V
544	公里	20	V
545	死亡	20	V
546	錦標賽	20	V
547	擔心	20	V
548	之前	20	V
549	東京	20	V
550	加州	20	V
551	行政院	20	V
552	大考	20	V
553	公共	20	V
554	繁星	20	V
555	承諾	20	V
556	秒	20	V
557	指	20	V
558	啊	20	V
559	片語	20	V
560	若	20	V
561	創下	20	V
562	接受	20	V
563	國中部	20	V
564	中學生	20	V
565	家庭	20	V
566	技術	20	V
567	合作	20	V
568	國語日報社	20	V
569	豬	20	V
570	討論	20	V
571	熊	20	V
572	少年	20	V
573	低	19	V
574	努力	19	V
575	吳啟綜	19	V
576	衛福部	19	V
577	會議	19	V
578	整	19	V
579	同	19	V
580	首次	19	V
581	爆發	19	V
582	分析	19	V
583	六	19	V
584	修法	19	V
585	暴力	19	V
586	航班	19	V
587	重大	19	V
588	系統	19	V
589	教育局	19	V
590	議題	19	V
591	民主	19	V
592	公投	19	V
593	會考	19	V
594	投入	19	V
595	單位	19	V
596	多數	19	V
597	第三	19	V
598	意味	19	V
599	身體	19	V
600	危機	19	V
601	人類	19	V
602	呢	19	V
603	戰	19	V
604	加拿大	19	V
605	倍	19	V
606	需	19	V
607	右	19	V
608	邊界	19	V
609	遊行	19	V
610	學年度	19	V
611	圖書館	19	V
612	棒	19	V
613	措施	19	V
614	人權	18	V
615	體操	18	V
616	智慧	18	V
617	性別	18	V
618	應該	18	V
619	經驗	18	V
620	任何	18	V
621	鼓勵	18	V
622	飲料	18	V
623	終於	18	V
624	原因	18	V
625	氣象局	18	V
626	協會	18	V
627	地方	18	V
628	分別	18	V
629	修正	18	V
630	私立	18	V
631	基礎	18	V
632	軟體	18	V
633	登記	18	V
634	依	18	V
635	風險	18	V
636	立委	18	V
637	社群	18	V
638	不過	18	V
639	題	18	V
640	居民	18	V
641	桌球	18	V
642	達成	18	V
643	得到	18	V
644	垃圾	18	V
645	月球	18	V
646	正在	18	V
647	禁	18	V
648	讀	18	V
649	流感	18	V
650	紙	18	V
651	參賽	18	V
652	管道	18	V
653	目標	18	V
654	食物	18	V
655	商品	18	V
656	法	18	V
657	分發	18	V
658	吧	18	V
659	以色列	18	V
660	創作	18	V
661	太空人	18	V
662	發展	17	V
663	總	17	V
664	含	17	V
665	影片	17	V
666	訊息	17	V
667	長	17	V
668	此外	17	V
669	領域	17	V
670	還是	17	V
671	西班牙	17	V
672	買	17	V
673	問卷	17	V
674	車	17	V
675	電影	17	V
676	分享	17	V
677	先	17	V
678	外界	17	V
679	退出	17	V
680	主題	17	V
681	伊	17	V
682	文化部	17	V
683	條例	17	V
684	簽署	17	V
685	輔導	17	V
686	大陸	17	V
687	旅客	17	V
688	期	17	V
689	加上	17	V
690	職業	17	V
691	款	17	V
692	意思	17	V
693	令	17	V
694	畢業	17	V
695	一起	17	V
696	看	17	V
697	辨識	17	V
698	較	17	V
699	生	17	V
700	達到	17	V
701	系	17	V
702	領導人	17	V
703	報名	17	V
704	中央	17	V
705	機制	17	V
706	投手	16	V
707	中小學	16	V
708	底	16	V
709	北韓	16	V
710	超級	16	V
711	拿到	16	V
712	霸凌	16	V
713	響應	16	V
714	比率	16	V
715	花	16	V
716	權利	16	V
717	展開	16	V
718	等級	16	V
719	年輕	16	V
720	義大利	16	V
721	多元	16	V
722	機構	16	V
723	登場	16	V
724	新增	16	V
725	典禮	16	V
726	資訊	16	V
727	加強	16	V
728	拒絕	16	V
729	報導	16	V
730	些	16	V
731	批評	16	V
732	維持	16	V
733	金牌	16	V
734	關稅	16	V
735	反對	16	V
736	英	16	V
737	主席	16	V
738	男性	16	V
739	水	16	V
740	環境	16	V
741	景點	16	V
742	機場	16	V
743	頭	16	V
744	準備	16	V
745	利用	16	V
746	高雄市	16	V
747	改為	16	V
748	記者會	16	V
749	怎麼	16	V
750	前往	16	V
751	人口	16	V
752	因應	16	V
753	季	16	V
754	病毒	16	V
755	周年	16	V
756	項目	16	V
757	主任	16	V
758	一些	15	V
759	選擇題	15	V
760	衝突	15	V
761	比賽	15	V
762	死	15	V
763	關閉	15	V
764	北	15	V
765	醫院	15	V
766	們	15	V
767	警告	15	V
768	物種	15	V
769	牠	15	V
770	具	15	V
771	班	15	V
772	議員	15	V
773	部	15	V
774	動物園	15	V
775	泰國	15	V
776	啟動	15	V
777	八	15	V
778	帳號	15	V
779	長期	15	V
780	球員	15	V
781	訴訟	15	V
782	酷	15	V
783	境	15	V
784	滿	15	V
785	學年	15	V
786	市長	15	V
787	原本	15	V
788	高達	15	V
789	法律	15	V
790	選修	15	V
791	照片	15	V
792	穿	15	V
793	當地	15	V
794	很多	15	V
795	名單	15	V
796	喜歡	15	V
797	吸管	15	V
798	影像	15	V
799	男	15	V
800	現象	15	V
801	回收	15	V
802	價格	15	V
803	跨	15	V
804	法案	15	V
805	州	15	V
806	羅馬	15	V
807	學期	15	V
808	繼續	15	V
809	十	15	V
810	弱勢	15	V
811	程序	15	V
812	數位	15	V
813	階段	15	V
814	隱私	15	V
815	重新	15	V
816	塑料	15	V
817	感到	14	V
818	召開	14	V
819	創	14	V
820	確定	14	V
821	知名	14	V
822	英文	14	V
823	組	14	V
824	副總統	14	V
825	九年級	14	V
826	提升	14	V
827	覺得	14	V
828	半	14	V
829	氣體	14	V
830	大家	14	V
831	連	14	V
832	重	14	V
833	作家	14	V
834	視為	14	V
835	極	14	V
836	用戶	14	V
837	巴黎	14	V
838	東西	14	V
839	人次	14	V
840	白	14	V
841	醫療	14	V
842	條	14	V
843	教授	14	V
844	不僅	14	V
845	屋頂	14	V
846	區域	14	V
847	站	14	V
848	集會	14	V
849	得獎	14	V
850	像	14	V
851	遊客	14	V
852	訓練	14	V
853	公民	14	V
854	倫敦	14	V
855	數十	14	V
856	負責	14	V
857	動作	14	V
858	大量	14	V
859	資格	14	V
860	權益	14	V
861	控制	14	V
862	威脅	14	V
863	立法院	14	V
864	主辦	14	V
865	然而	14	V
866	應用	14	V
867	新生	14	V
868	獎金	14	V
869	擁有	14	V
870	聯合	14	V
871	狀態	14	V
872	寫	14	V
873	程式	14	V
874	二月	14	V
875	攻擊	14	V
876	首相	14	V
877	如何	14	V
878	廢棄物	14	V
879	土耳其	14	V
880	特色	14	V
881	認證	14	V
882	國教	13	V
883	機器人	13	V
884	華為	13	V
885	如今	13	V
886	高級	13	V
887	至今	13	V
888	設計師	13	V
889	發起	13	V
890	公園	13	V
891	雙語	13	V
892	保障	13	V
893	越南	13	V
894	招	13	V
895	孩子	13	V
896	管理	13	V
897	這麼	13	V
898	難	13	V
899	屏東	13	V
900	對於	13	V
901	德仁	13	V
902	就讀	13	V
903	黑	13	V
904	體育	13	V
905	認定	13	V
906	新高	13	V
907	假	13	V
908	招聯會	13	V
909	調整	13	V
910	和平	13	V
911	現場	13	V
912	公斤	13	V
913	恐	13	V
914	為什麼	13	V
915	成員	13	V
916	領導	13	V
917	違法	13	V
918	基本	13	V
919	雖然	13	V
920	之間	13	V
921	體驗	13	V
922	測試	13	V
923	執行	13	V
924	首都	13	V
925	人們	13	V
926	街友	13	V
927	教堂	13	V
928	錢	13	V
929	販售	13	V
930	禁令	13	V
