序位	詞彙	詞頻	常用詞標V
1	的	30631	V
2	在	9002	V
3	學生	8639	V
4	是	7444	V
5	有	7098	V
6	也	5285	V
7	與	5145	V
8	一	5083	V
9	國小	4459	V
10	表示	4292	V
11	為	4026	V
12	和	3857	V
13	說	3734	V
14	不	3505	V
15	將	3357	V
16	及	3279	V
17	學校	3263	V
18	以	3236	V
19	昨天	3187	V
20	等	3104	V
21	年	2811	V
22	人	2803	V
23	都	2790	V
24	教育	2650	V
25	讓	2645	V
26	臺灣	2605	V
27	教師	2539	V
28	到	2538	V
29	名	2509	V
30	中	2493	V
31	這	2469	V
32	但	2466	V
33	會	2430	V
34	他	2393	V
35	並	2322	V
36	能	2317	V
37	個	2304	V
38	後	2258	V
39	就	2256	V
40	新	2191	V
41	上	2175	V
42	全	2173	V
43	了	2044	V
44	大	2023	V
45	兩	2009	V
46	大學	1959	V
47	今年	1946	V
48	三	1907	V
49	要	1868	V
50	次	1806	V
51	很	1798	V
52	最	1788	V
53	各	1761	V
54	更	1758	V
55	每	1751	V
56	對	1743	V
57	時	1695	V
58	校	1680	V
59	學習	1673	V
60	或	1652	V
61	活動	1626	V
62	由	1593	V
63	她	1584	V
64	可	1563	V
65	從	1490	V
66	還	1466	V
67	小	1446	V
68	校長	1426	V
69	國中	1419	V
70	圖說	1406	V
71	前	1353	V
72	已	1353	V
73	提供	1352	V
74	課程	1350	V
75	教育部	1341	V
76	歲	1300	V
77	國	1293	V
78	希望	1290	V
79	政府	1262	V
80	二	1256	V
81	多	1255	V
82	舉辦	1224	V
83	四	1213	V
84	者	1209	V
85	高中	1191	V
86	兒童	1190	V
87	而	1172	V
88	應	1170	V
89	被	1145	V
90	日前	1120	V
91	則	1102	V
92	臺北市	1099	V
93	來	1094	V
94	民眾	1083	V
95	家長	1059	V
96	透過	1058	V
97	元	1053	V
98	之	1049	V
99	第一	1037	V
100	內	1029	V
101	文化	1026	V
102	獲得	1022	V
103	所	1018	V
104	才	1014	V
105	下	1002	V
106	五	985	V
107	可以	971	V
108	進行	971	V
109	再	966	V
110	目前	949	V
111	天	944	V
112	校園	940	V
113	沒有	937	V
114	於	933	V
115	國際	925	V
116	自己	917	V
117	世界	916	V
118	指出	913	V
119	美國	907	V
120	學童	904	V
121	好	902	V
122	計畫	901	V
123	用	886	V
124	教學	883	V
125	中心	874	V
126	國家	862	V
127	比	856	V
128	未來	850	V
129	著	848	V
130	北市	841	V
131	問題	841	V
132	圖	839	V
133	參加	831	V
134	成為	827	V
135	起	826	V
136	共	824	V
137	去年	811	V
138	包括	806	V
139	生活	805	V
140	發展	796	V
141	因	793	V
142	社會	793	V
143	圖片	790	V
144	推動	776	V
145	六	772	V
146	我	770	V
147	高	767	V
148	未	763	V
149	時間	762	V
150	作品	762	V
151	只	748	V
152	該	745	V
153	項	745	V
154	發現	743	V
155	閱讀	735	V
156	比賽	723	V
157	參與	716	V
158	分	715	V
159	認為	699	V
160	孩子	697	V
161	家	691	V
162	調查	689	V
163	其中	688	V
164	師生	686	V
165	如果	683	V
166	環境	683	V
167	因此	681	V
168	相關	674	V
169	高雄市	673	V
170	得	670	V
171	臺北	666	V
172	使用	663	V
173	日本	662	V
174	教育局	662	V
175	兒少	662	V
176	設計	661	V
177	臺	661	V
178	影響	653	V
179	種	649	V
180	卻	646	V
181	做	644	V
182	曾	644	V
183	研究	641	V
184	能力	638	V
185	工作	637	V
186	完成	634	V
187	仍	634	V
188	本	633	V
189	外	633	V
190	他們	627	V
191	十	614	V
192	增加	613	V
193	可能	613	V
194	向	613	V
195	科技	611	V
196	方式	611	V
197	安全	609	V
198	體驗	607	V
199	許多	606	V
200	約	594	V
201	以及	585	V
202	且	585	V
203	運動	584	V
204	除了	583	V
205	家庭	579	V
206	基金會	577	V
207	地	572	V
208	聯盟	571	V
209	鼓勵	570	V
210	把	567	V
211	選手	563	V
212	開始	563	V
213	過	556	V
214	近	554	V
215	月	548	V
216	無	548	V
217	舉行	547	V
218	至	546	V
219	合作	542	V
220	協助	538	V
221	超過	537	V
222	因為	533	V
223	又	531	V
224	看	531	V
225	大家	527	V
226	想	527	V
227	公布	522	V
228	藝術	519	V
229	邀請	519	V
230	服務	513	V
231	冠軍	512	V
232	總統	512	V
233	製作	509	V
234	團隊	507	V
235	桃園市	507	V
236	英國	507	V
237	要求	505	V
238	不同	505	V
239	了解	503	V
240	無法	501	V
241	發生	498	V
242	成績	496	V
243	受	491	V
244	一起	490	V
245	規定	489	V
246	首	486	V
247	重要	481	V
248	機會	480	V
249	創作	479	V
250	當	476	V
251	媽媽	473	V
252	屏東縣	470	V
253	造成	467	V
254	給	464	V
255	左	461	V
256	第二	460	V
257	提出	460	V
258	場	455	V
259	日	455	V
260	八	455	V
261	必須	450	V
262	動物	448	V
263	代表	448	V
264	攝影	447	V
265	規畫	447	V
266	件	446	V
267	另外	446	V
268	健康	442	V
269	呼籲	440	V
270	社區	439	V
271	故事	439	V
272	網路	437	V
273	七	437	V
274	中國	435	V
275	屆	435	V
276	利用	434	V
277	英語	433	V
278	人員	429	V
279	書	429	V
280	擔任	429	V
281	建議	428	V
282	團體	428	V
283	特別	428	V
284	右	428	V
285	行動	421	V
286	補助	420	V
287	臺中市	419	V
288	結合	417	V
289	最後	416	V
290	政策	416	V
291	經費	413	V
292	照顧	412	V
293	需要	411	V
294	通過	410	V
295	針對	406	V
296	自	405	V
297	不過	405	V
298	主任	404	V
