序位	詞彙	詞頻
1	的	2732
2	在	882
3	是	576
4	一	575
5	有	438
6	這	430
7	和	396
8	個	388
9	了	364
10	人	337
11	將	322
12	也	316
13	為	303
14	年	288
15	與	274
16	新	272
17	表示	259
18	疫情	246
19	中	235
20	不	235
21	最	231
22	以	231
23	學生	228
24	大	223
25	美國	220
26	上	216
27	三	209
28	到	181
29	等	178
30	但	178
31	會	174
32	全	169
33	後	166
34	名	166
35	兩	163
36	二	162
37	及	158
38	臺灣	157
39	歲	157
40	對	153
41	肺炎	151
42	被	148
43	可	146
44	已	143
45	元	142
46	今年	140
47	時	140
48	全球	137
49	我	133
50	或	133
51	從	132
52	大學	131
53	並	131
54	口罩	129
55	次	128
56	者	123
57	世界	122
58	國家	120
59	總統	120
60	都	119
61	要	118
62	新冠	118
63	前	117
64	他	117
65	就	115
66	國	115
67	你	114
68	能	113
69	中國	113
70	讓	112
71	各	111
72	可以	110
73	中心	109
74	則	108
75	說	106
76	疫苗	106
77	而	106
78	內	106
79	文	105
80	天	103
81	高中	102
82	民眾	102
83	由	101
84	冠	101
85	四	101
86	每	97
87	來	95
88	七月	94
89	宣布	93
90	可能	93
91	新聞	92
92	月	92
93	學校	92
94	政府	91
95	第一	90
96	起	89
97	於	88
98	國際	88
99	防疫	86
100	包括	86
101	國中	86
102	臺北	85
103	因	84
104	活動	83
105	五月	83
106	提供	81
107	教育部	81
108	高	81
109	英國	79
110	多	79
111	之	79
112	成為	78
113	圖	78
114	單字	77
115	比	77
116	紀錄	77
117*	圖／美聯社	77
118	譯	76
119	公布	76
120	八月	75
121	項	74
122	此	73
123	因為	73
124	臺	72
125	種	72
126	指出	72
127	事	71
128	分鐘	71
129	公司	71
130	病毒	71
131	很	71
132	約	71
133	獎	71
134	未來	70
135	開始	70
136	研究	70
137	更	70
138	還	70
139	發現	70
140	他們	69
141	她	69
142	超過	68
143	教育	68
144	家	68
145	該	67
146	日本	66
147	才	66
148	希望	65
149	六	65
150	三月	64
151	其他	64
152	獲得	64
153	進行	64
154	措施	63
155	我們	63
156	第二	62
157	以及	62
158	趙元穎	62
159	近	61
160	影響	61
161	校	61
162	下	61
163	自	59
164	四月	59
165	英語	59
166	外	59
167	學	59
168	包	58
169	六月	58
170	開放	58
171	決定	57
172	沒有	57
173	十二月	57
174	分	57
175	再	57
176	澳洲	57
177	做	56
178	臺北市	56
179	去年	56
180	首	56
181	用	56
182	十	56
183	五	56
184	目前	55
185	調查	55
186	其	55
187	動物	55
188	計畫	55
189	考生	54
190	使用	54
191	感染	54
192	九月	54
193	指揮	54
194	造成	53
195	補充	53
196	至	53
197	日前	53
198	十一月	53
199	時間	52
200	十月	52
201	如果	52
202	度	51
203	使	51
204	由於	51
205	瑩	51
206	哈拉	51
207	共	51
208*	文／	51
209	川普	50
210	二月	49
211	位	49
212	組織	49
213	潘斯量	48
214	確診	48
215*	文／王	48
216	明年	48
217	敏偉	48
218	經濟	47
219	其中	47
220	十八	47
221	無法	47
222	歐盟	47
223	人數	47
224*	寫／張	46
225	校園	46
226	所	46
227	網路	46
228	出現	46
229	必須	46
230	受	46
231	學習	46
232	根據	46
233	教師	46
234	得	46
235	安全	45
236	病例	45
237	仍	45
238	珠	45
239*	圖／朱	45
240	看	45
