序位	詞頻
1	2498
2	787
3	578
4	535
5	413
6	370
7	352
8	331
9	324
10	321
11	314
12	313
13	311
14	288
15	286
16	271
17	256
18	239
19	232
20	231
21	226
22	225
23	217
24	215
25	206
26	197
27	194
28	182
29	180
30	178
31	176
32	170
33	170
34	169
35	169
36	167
37	165
38	156
39	153
40	152
41	151
42	150
43	149
44	149
45	142
46	141
47	141
48	140
49	138
50	137
51	134
52	133
53	132
54	130
55	127
56	127
57	126
58	126
59	121
60	117
61	115
62	113
63	113
64	113
65	112
66	111
67	111
68	110
69	105
70	102
71	101
72	100
73	100
74	98
75	98
76	97
77	96
78	96
79	95
80	95
81*	94
82	94
83	93
84	93
85	93
86	92
87	91
88	91
89	90
90	89
91	88
92	87
93	86
94	86
95	86
96	86
97	86
98	84
99	84
100	84
101	83
102	82
103	81
104	81
105	80
106	80
107	79
108	79
109	79
110	79
111	79
112	78
113	77
114	77
115	77
116	75
117	75
118	75
119	74
120	74
121	74
122	74
123	73
124	73
125	71
126	71
127	70
128	69
129	69
130	68
131	68
132	67
133	67
134	67
135	66
136	65
137	65
138	65
139	65
140	64
141	64
142	64
143	63
144	63
145	63
146	62
147	62
148	62
149	62
150	62
151	62
152	61
153	61
154	61
155	61
156	61
157	61
158	60
159	60
160	60
161	59
162*	59
163	59
164	59
165	59
166	59
167	58
168	58
169	58
170	58
171	58
172	57
173	57
174	57
175	57
176	56
177	55
178	55
179	55
180	54
181	54
182	54
183	53
184	53
185	53
186	53
187	53
188	53
189	53
190	52
191	51
192	51
193	50
194	50
195	50
196	50
197	50
198	49
199	49
200	49
201	49
202	48
203	47
204	47
205	47
206	47
207	47
208	47
209	47
210	47
211	47
212	46
213	46
214	46
215	46
216	46
217	45
218	45
219	45
220	45
221	45
222	45
223	45
224	45
225	45
226	45
227	45
228	44
229	44
230	44
231	44
232	44
233	43
234	43
235	43
236	43
237	43
238	43
239	43
240	42
241*	42
242	42
243	42
244	42
245	42
246	42
247	42
248	41
249	41
250	41
251*	41
252	41
253	40
254	40
255	40
256	40
257	40
258	40
259	40
260	40
261	39
262	39
263	39
264	39
265	39
266	39
267	38
268	38
269	38
270	38
271	38
272	37
273	37
274	37
275	37
276	37
277	37
278	37
279*	37
280	36
281	36
282	36
283	36
284	36
285	36
286	36
287	36
288	36
289	36
290	36
291	35
292	35
293	35
294	35
295	35
296	35
297	35
298	35
299	35
300	35
301	35
302	35
303	34
304	34
305	34
306	34
307	34
308	34
309	34
310	34
311	34
312	34
313	34
314*	33
315	33
316	33
317	33
318	33
319	33
320	33
321	33
322	33
323	33
324	32
325	32
326	32
327	32
328	32
329	32
330	32
331	32
332	32
333	31
334	31
335	31
336	31
337	31
338	31
339	31
340	31
341	31
342	31
343	31
344	31
345	30
346	30
347	30
348	30
349	30
350	30
351	29
352	29
353	29
354	29
355	29
356	29
357	29
358	29
359	29
360	29
361	29
362	29
363	29
364	29
365	28
366	28
367	28
368	28
369	28
370	28
371	28
372	28
373	28
374	28
375	28
376	28
377	28
378	28
379	28
380	28
381	28
382	28
383	28
384	28
385	28
386	28
387	28
388	28
389*	28
390	28
391	27
392	27
393	27
394	27
395	27
396	27
397	27
398	27
399	27
400	27
401	27
402	27
403	27
404	27
405	27
406	26
407	26
408	26
409	26
410	26
411	26
412	26
413	26
414	26
415	26
416	26
417	26
418	26
419	26
420	26
421	26
422	26
423	26
424	26
425	26
426	25
427	25
428	25
429	25
430	25
431	25
432	25
433	25
434	25
435	25
436	25
437	25
438	25
439	25
440	25
441	25
442	25
443	24
444	24
445	24
446	24
447	24
448	24
449	24
450	24
451	24
452	24
453	24
454	24
455	24
456	24
457	24
458	24
459	24
460	24
461	24
462	24
463	24
464	23
465	23
466	23
467	23
468	23
469	23
470	23
471	23
472	23
473	23
474	23
475	23
476	23
477	23
478	23
479	23
480	22
481	22
482	22
483	22
484	22
485	22
486	22
487	22
488	22
489	22
490	22
491	22
492	22
493	22
494	22
495	22
496	22
497	22
498	22
499	22
500	22
501	21
502	21
503	21
504	21
505	21
506	21
507	21
508	21
509	21
510	21
511	21
512	21
513	21
514	21
515	21
516	21
517	21
518	21
519	20
520	20
521*	20
522	20
523	20
524	20
525	20
526	20
527	20
528	20
529	20
530	20
531	20
532	20
533	20
534	20
535	20
536	20
537	20
538	20
539	20
540	20
541	20
542	20
543	20
544	20
545	20
546	20
547	20
548	20
549	20
550	20
551	20
552	20
553	20
554	20
555	20
556	20
557	20
558	20
559	20
560	20
561	19
562	19
563	19
564	19
565	19
566	19
567	19
568	19
569	19
570	19
571	19
572	19
573	19
574	19
575	19
576	19
577	19
578	19
579	19
580	19
581	19
582	19
583	19
584	19
585	19
586	19
587	19
588	19
589	19
590	19
591	19
592	18
593	18
594	18
595	18
596	18
597	18
598	18
599	18
600	18
601	18
602	18
603	18
604	18
605	18
606	18
607	18
608	18
609	18
610	18
611	18
612	18
613	18
614	18
615	18
616	18
617	18
618	18
619	18
620	18
621	18
622	18
623	18
624	18
625	18
626	18
627	18
628	18
629	17
630	17
631	17
632	17
633	17
634	17
635	17
636	17
637	17
638	17
639	17
640	17
641	17
642	17
643	17
644	17
645	17
646	17
647	17
648	17
649	17
650	17
651	17
652	17
653	17
654	17
655	17
656	17
657	17
658	17
659	17
660	17
661	17
662	17
663	17
664	17
665	17
666*	17
667	17
668	16
669	16
670	16
671	16
672	16
673	16
674	16
675	16
676	16
677	16
678	16
679	16
680	16
681	16
682	16
683	16
684	16
685	16
686	16
687	16
688	16
689	16
690	16
691	16
692	16
693	16
694	16
695	16
696	16
697	16
698	16
699	16
700	16
701	16
702	16
703	16
704	16
705	16
706	16
707	16
708	16
709	16
710	16
711	16
712	16
713	15
714	15
715	15
716	15
717	15
718	15
719	15
720	15
721	15
722	15
723	15
724	15
725	15
726	15
727	15
728	15
729	15
730	15
731	15
732	15
733	15
734	15
735	15
736	15
737	15
738	15
739	15
740	15
741	15
742	15
743	15
744	15
745	15
746	15
747	15
748	15
749	15
750	15
751	15
752	15
753	15
754	15
755	15
756	15
757	15
758	15
759	15
760	15
761	15
762	15
763	15
764	15
765	15
766	15
767	15
768	15
769	15
770	14
771	14
772	14
773	14
774	14
775	14
776	14
777	14
778	14
779	14
780	14
781	14
782	14
783	14
784	14
785	14
786	14
787	14
788	14
789	14
790*	14
791	14
792	14
793	14
794	14
795	14
796	14
797	14
798	14
799	14
800	14
801	14
802	14
803	14
804	14
805	14
806	14
807	14
808	14
809	14
810	14
811	14
812	14
813	14
814	14
815	14
816	14
817	14
818	14
819	14
820	14
821	14
822	14
823	14
824	14
825	14
826	14
827	14
828	14
829	14
830	14
831	14
832	14
833	14
834	14
835	14
836	14
837	14
838	14
839	14
840	14
841	14
842	14
843	14
844	14
845	14
846	14
847	14
848	14
849	13
850	13
851	13
852	13
853	13
854	13
855	13
856	13
857	13
858	13
859	13
860	13
861	13
862	13
863	13
864	13
865	13
866	13
867	13
868	13
869	13
870	13
871	13
872	13
873	13
874	13
875	13
876	13
877	13
878	13
879	13
880	13
881	13
882	13
883	13
884	13
885	13
886	13
887	13
888	13
889	13
890	13
891	13
892	13
893	13
894	13
895	13
896	13
897	13
898	13
899	13
900	13
901	13
902	13
903	13
904	13
905	13
906	13
907	13
908	13
909	13
910	13
911	13
912	13
913	12
914	12
915	12
916	12
917	12
918	12
919	12
920	12
921	12
922	12
923	12
924	12
925	12
926	12
927	12
928	12
929	12
930	12
931	12
932	12
933	12
934	12
935	12
936	12
937	12
938	12
939	12
940	12
941	12
942	12
943	12
944	12
945	12
946	12
947	12
948	12
949	12
950	12
951	12
952	12
953	12
954	12
955	12
956	12
957	12
958	12
959	12
960	12
961	12
962	12
963	12
964	12
965	12
966	12
967	12
968	12
969	12
970	12
971	12
972	12
973	12
974	12
975	12
976	12
977	12
978	12
979	12
980	12
981	12
982	12
983	12
984	12
985	12
986	12
987	12
988	12
989	12
990	12
991	12
992	12
993	12
994	12
995	12
996	12
997	11
998	11
999	11
1000	11
1001	11
1002	11
1003	11
1004	11
1005	11
1006	11
1007	11
1008	11
1009	11
1010	11
1011	11
1012	11
1013	11
1014	11
1015	11
1016	11
1017	11
1018	11
1019	11
1020	11
1021	11
1022	11
1023	11
1024	11
1025	11
1026	11
1027	11
1028	11
1029	11
1030	11
1031	11
1032	11
1033	11
1034	11
1035	11
1036	11
1037	11
1038	11
1039	11
1040	11
1041	11
1042	11
1043	11
1044	11
1045	11
1046	11
1047	11
1048	11
1049	11
1050	11
1051	11
1052	11
1053	11
1054	11
1055	11
1056	11
1057	11
1058	11
1059	11
1060	11
1061	11
1062	11
1063	11
1064	11
1065	11
1066	11
1067	11
1068	11
1069	11
1070	11
1071	11
1072	11
1073	11
1074	11
1075	11
1076	11
1077	11
1078	11
1079	11
1080	11
1081	11
1082	11
1083	11
1084	11
1085	11
1086	10
1087	10
1088	10
1089	10
1090	10
1091	10
1092	10
1093	10
1094	10
1095	10
1096	10
1097	10
1098	10
1099	10
1100	10
1101	10
1102	10
1103	10
1104	10
1105	10
1106	10
1107	10
1108	10
1109	10
1110	10
1111	10
1112	10
1113	10
1114	10
1115	10
1116	10
1117	10
1118	10
1119	10
1120	10
1121	10
1122	10
1123	10
1124	10
1125	10
1126	10
1127	10
1128	10
1129	10
1130	10
1131	10
1132	10
1133	10
1134	10
1135	10
1136	10
1137	10
1138	10
1139	10
1140	10
1141	10
1142	10
1143	10
1144	10
1145	10
1146	10
1147	10
1148	10
1149	10
1150	10
1151	10
1152	10
1153	10
1154	10
1155	10
1156	10
1157	10
1158	10
1159	10
1160	10
1161	10
1162	10
1163	10
1164	10
1165	10
1166	10
1167	10
1168	10
1169	10
1170	10
1171	10
1172	10
1173	10
1174	10
1175	10
1176	10
1177	10
1178	10
1179	10
1180	10
1181	10
1182	10
1183	10
1184	10
1185	10
1186	10
1187	10
1188	10
1189	10
1190	10
1191	10
1192	10
1193	10
1194	10
1195	10
1196	10
1197	10
1198	10
1199	10
1200	10
1201	10
1202	10
1203	10
1204	10
1205	10
1206	10
1207	10
1208	10
1209	10
1210	10
1211	10
1212	10
1213	10
1214	10
1215	10
1216	10
1217	10
1218	10
1219	9
1220	9
1221	9
1222	9
1223	9
1224	9
1225	9
1226	9
1227	9
1228	9
1229	9
1230	9
1231	9
1232	9
1233	9
1234	9
1235	9
1236	9
1237	9
1238	9
1239	9
1240	9
1241	9
1242	9
1243	9
1244	9
1245	9
1246	9
1247	9
1248	9
1249	9
1250	9
1251	9
1252	9
1253	9
1254	9
1255	9
1256	9
1257	9
1258	9
1259	9
1260	9
1261	9
1262	9
1263	9
1264	9
1265	9
1266	9
1267	9
1268	9
1269	9
1270	9
1271	9
1272	9
1273	9
1274	9
1275	9
1276	9
1277	9
1278	9
1279	9
1280	9
1281	9
1282	9
1283	9
1284	9
1285	9
1286	9
1287	9
1288	9
1289	9
1290	9
1291	9
1292	9
1293	9
1294	9
1295	9
1296	9
1297	9
1298	9
1299	9
1300	9
1301	9
1302	9
1303	9
1304	9
1305	9
1306	9
1307	9
1308	9
1309	9
1310	9
1311	9
1312	9
1313	9
1314	9
1315	9
1316	9
1317	9
1318	9
1319	9
1320	9
1321	9
1322	9
1323	9
1324	9
1325	9
1326	9
1327	9
1328	9
1329	9
1330	9
1331	9
1332	9
1333	9
1334	9
1335	9
