序位	詞彙	詞頻
1	的	25879
2	在	7851
3	學生	7562
4	是	6243
5	有	6027
6	與	5345
7	一	4926
8	也	4313
9	表示	4255
10	國小	3978
11	報導	3742
12	昨天	3500
13	為	3396
14	及	3323
15	以	3220
16	將	3188
17	和	3172
18	學校	3004
19	說	2850
20	人	2836
21	不	2702
22	等	2613
23	臺灣	2601
24	年	2548
25	後	2424
26	都	2373
27	兩	2310
28	名	2309
29	但	2190
30	到	2162
31	個	2152
32	並	2150
33	例	2147
34	教師	2146
35	讓	2135
36	三	2130
37	全	2124
38	中	2060
39	會	2023
40	這	2010
41	教育	1925
42	上	1921
43	臺北	1913
44	疫情	1872
45	能	1846
46	歲	1767
47	提供	1760
48	他	1752
49	各	1743
50	次	1644
51	就	1644
52	最	1615
53	已	1606
54	中心	1602
55	對	1600
56	學習	1568
57	校	1567
58	或	1539
59	可	1501
60	更	1474
61	時	1431
62	大	1430
63	今年	1428
64	要	1427
65	大學	1371
66	前	1365
67	日前	1362
68	國中	1357
69	從	1352
70	活動	1349
71	了	1336
72	很	1334
73	兒童	1330
74	由	1328
75	教育部	1290
76	圖說	1288
77	者	1275
78	每	1260
79	國	1244
80	確診	1234
81	四	1215
82	天	1200
83	政府	1187
84	五	1185
85	則	1173
86	個案	1143
87	課程	1137
88	她	1133
89	多	1128
90	圖片	1105
91	還	1088
92	校長	1086
93	下	1083
94	指出	1063
95	於	1062
96	起	1055
97	疫苗	1044
98	而	1039
99	民眾	1031
100	第一	1026
101	高中	1012
102	進行	1008
103	應	1006
104	比	998
105	圖	979
106	教學	971
107	內	961
108	透過	961
109	美國	945
110	校園	938
111	舉辦	934
112	被	926
113	獲得	922
114	指揮	921
115	再	917
116	未	916
117	小	915
118	國際	909
119	國家	897
120	因	890
121	攝影	890
122	防疫	890
123	目前	890
124	家長	877
125	本	876
126	元	875
127	之	873
128	才	862
129	臺北市	856
130	新北市	854
131	自己	849
132	新	848
133	仍	848
134	希望	839
135	公布	836
136	可以	834
137	文化	833
138	其中	830
139	來	814
140	六	796
141	本土	793
142	包括	786
143	作品	780
144	至	779
145	相關	773
146	中央	771
147	影響	770
148	世界	766
149	所	766
150	新增	760
151	生活	752
152	參加	722
153	成為	712
154	未來	702
155	該	695
