序位	詞彙	詞頻	百萬詞頻	常用詞標V
3000002	珉周嘎豆	1	0.001	
3000003	正珉周嘎豆	1	0.001	
3000004	玟周嘎豆	1	0.001	
3000005	金泯周	1	0.001	
3000006	謝娜波羅波羅蜜	1	0.001	
3000007	謝真的	1	0.001	
3000008	波羅波蘿蜜	1	0.001	
3000009	行幹	1	0.001	
3000010	大奶門	1	0.001	
3000011	大小正	1	0.001	
3000012	霸凌人版	1	0.001	
3000013	土屋美櫻	1	0.001	
3000014	轟音黃	1	0.001	
3000015	消火火	1	0.001	
3000016	婦宣隊	1	0.001	
3000017	元大圈	1	0.001	
3000018	神威眼	1	0.001	
3000019	女星級	1	0.001	
3000020	馬傑襄	1	0.001	
3000021	瘦紗夏	1	0.001	
3000022	相門	1	0.001	
3000023	寫真奶	1	0.001	
3000024	扌隹奶	1	0.001	
3000025	女乃子王	1	0.001	
3000026	丞相卒	1	0.001	
3000027	解放照	1	0.001	
3000028	阿深藏	1	0.001	
3000029	甘帥	1	0.001	
3000030	石川淩	1	0.001	
3000031	阿曼達露奶	1	0.001	
3000032	好美樓	1	0.001	
3000033	小寒曉涵	1	0.001	
3000034	伊藤美雪	1	0.001	
3000035	吉木艮	1	0.001	
3000036	雪茄婆	1	0.001	
3000037	超頂界	1	0.001	
3000038	中國象	1	0.001	
3000039	野瑜	1	0.001	
3000040	健美尻	1	0.001	
3000041	太葡	1	0.001	
3000042	普又黑	1	0.001	
3000043	曹假奶	1	0.001	
3000044	茶腳	1	0.001	
3000045	伊莉沙白歐森	1	0.001	
3000046	處男墊	1	0.001	
3000047	高臉	1	0.001	
3000048	老女文	1	0.001	
3000049	超正社	1	0.001	
3000050	爆立花里子	1	0.001	
3000051	呦衣	1	0.001	
3000052	開門生	1	0.001	
3000053	大鐵木	1	0.001	
3000054	馬波神	1	0.001	
3000055	讚不得	1	0.001	
3000056	雪白乳	1	0.001	
3000057	敗灰	1	0.001	
3000058	噠推	1	0.001	
3000059	扁奶塑	1	0.001	
3000060	萌音勾錐	1	0.001	
3000061	大河北	1	0.001	
3000062	卜櫻界	1	0.001	
3000063	楊懷樂界	1	0.001	
3000064	鄭懷樂	1	0.001	
3000065	崩卜櫻	1	0.001	
3000066	推様	1	0.001	
3000067	竿門	1	0.001	
3000068	附門手	1	0.001	
3000069	大壯壯	1	0.001	
3000070	扛板子	1	0.001	
3000071	宮讀生	1	0.001	
3000072	偏邪門	1	0.001	
3000073	柳嚴	1	0.001	
3000074	賈求門	1	0.001	
3000075	韓國人圖	1	0.001	
3000076	盜母	1	0.001	
3000077	豪乳球	1	0.001	
3000078	濠洨乳	1	0.001	
3000079	豪洨乳	1	0.001	
3000080	正仙	1	0.001	
3000081	均白	1	0.001	
3000082	雙眼袋	1	0.001	
3000083	忽小香	1	0.001	
3000084	軍官寢	1	0.001	
3000085	軍官階	1	0.001	
3000086	末將願	1	0.001	
3000087	雷拉推	1	0.001	
3000088	薔薔維	1	0.001	
3000089	隆真	1	0.001	
3000090	敏磯	1	0.001	
3000091	曹堅	1	0.001	
3000092	慘草	1	0.001	
3000093	噁飯糰	1	0.001	
